last_name, first_name,player_id,year,BB_PA,AVG,OBP
Cruz Jr., Nelson,443558,2022,0.097,0.234,0.312
Blackmon, Charlie,453568,2022,0.055,0.264,0.312
McCutchen, Andrew,457705,2022,0.098,0.237,0.316
Turner, Justin,457759,2022,0.094,0.278,0.35
Andrus, Elvis,462101,2022,0.068,0.249,0.303
Santana, Carlos,467793,2022,0.14,0.202,0.316
Gurriel, Yuli,493329,2022,0.051,0.242,0.288
Rojas, Miguel,500743,2022,0.051,0.236,0.282
Escobar, Eduardo,500871,2022,0.074,0.24,0.295
Pham, Tommy,502054,2022,0.09,0.236,0.312
Martinez, J.D.,502110,2022,0.087,0.274,0.341
Goldschmidt, Paul,502671,2022,0.121,0.317,0.402
Altuve, Jose,514888,2022,0.109,0.3,0.387
Hernandez, Cesar,514917,2022,0.073,0.248,0.31
Marte, Starling,516782,2022,0.051,0.292,0.347
Donaldson, Josh,518626,2022,0.099,0.222,0.308
Freeman, Freddie,518692,2022,0.119,0.325,0.407
LeMahieu, DJ,518934,2022,0.124,0.261,0.357
Rizzo, Anthony,519203,2022,0.106,0.224,0.338
Flores, Wilmer,527038,2022,0.098,0.229,0.316
Ozuna, Marcell,542303,2022,0.061,0.226,0.274
Aguilar, Jesus,542583,2022,0.055,0.235,0.278
Cron, C.J.,543068,2022,0.068,0.257,0.315
Semien, Marcus,543760,2022,0.073,0.248,0.304
Springer III, George,543807,2022,0.093,0.267,0.34
Grichuk, Randal,545341,2022,0.045,0.259,0.299
Abreu, Jose,547989,2022,0.091,0.304,0.378
Suarez, Eugenio,553993,2022,0.116,0.236,0.332
Urshela, Gio,570482,2022,0.074,0.285,0.338
Schoop, Jonathan,570731,2022,0.037,0.202,0.239
Arenado, Nolan,571448,2022,0.084,0.293,0.358
Farmer, Kyle,571657,2022,0.057,0.255,0.314
Muncy, Max,571970,2022,0.159,0.196,0.329
Pollock, AJ,572041,2022,0.061,0.245,0.292
Voit III, Luke,572228,2022,0.097,0.226,0.308
Walker, Christian,572233,2022,0.103,0.242,0.327
Yastrzemski, Mike,573262,2022,0.109,0.214,0.305
Canha, Mark,592192,2022,0.089,0.266,0.367
Castellanos, Nick,592206,2022,0.052,0.263,0.305
Drury, Brandon,592273,2022,0.067,0.263,0.32
Judge, Aaron,592450,2022,0.159,0.311,0.422
Machado, Manny,592518,2022,0.098,0.298,0.366
Realmuto, J.T.,592663,2022,0.073,0.276,0.342
Renfroe, Hunter,592669,2022,0.075,0.255,0.314
Yelich, Christian,592885,2022,0.131,0.252,0.355
Merrifield, Whit,593160,2022,0.069,0.25,0.298
Bogaerts, Xander,593428,2022,0.09,0.307,0.377
Profar, Jurickson,595777,2022,0.111,0.243,0.33
Baez, Javier,595879,2022,0.044,0.238,0.278
Lindor, Francisco,596019,2022,0.084,0.27,0.339
Bell, Josh,605137,2022,0.125,0.266,0.36
Betts, Mookie,605141,2022,0.086,0.269,0.34
Hernandez, Teoscar,606192,2022,0.064,0.267,0.316
Marte, Ketel,606466,2022,0.099,0.24,0.321
Nimmo, Brandon,607043,2022,0.105,0.274,0.366
Turner, Trea,607208,2022,0.064,0.298,0.342
Ramirez, Jose,608070,2022,0.101,0.28,0.355
Bregman, Alex,608324,2022,0.133,0.259,0.366
Seager, Corey,608369,2022,0.087,0.245,0.317
Winker, Jesse,608385,2022,0.154,0.219,0.344
Swanson, Dansby,621020,2022,0.07,0.277,0.329
Correa, Carlos,621043,2022,0.103,0.291,0.366
Ward, Taylor,621493,2022,0.106,0.281,0.36
Wisdom, Patrick,621550,2022,0.099,0.207,0.298
Olson, Matt,621566,2022,0.107,0.24,0.325
Mateo, Jorge,622761,2022,0.051,0.221,0.265
Santander, Anthony,623993,2022,0.085,0.24,0.318
Alonso, Pete,624413,2022,0.098,0.271,0.352
Frazier, Adam,624428,2022,0.076,0.238,0.299
Cronenworth, Jake,630105,2022,0.102,0.239,0.33
Bellinger, Cody,641355,2022,0.069,0.21,0.265
Crawford, J.P.,641487,2022,0.113,0.243,0.338
Mancini III, Trey,641820,2022,0.09,0.239,0.319
McMahon, Ryan,641857,2022,0.101,0.246,0.327
Tellez, Rowdy,642133,2022,0.104,0.219,0.306
Rosario, Amed,642708,2022,0.037,0.283,0.312
Adames, Willy,642715,2022,0.079,0.238,0.298
Estrada, Thairo,642731,2022,0.061,0.26,0.322
