year,name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2023,"Ryu, Hyun Jin",547943,Blue Jays,TOR,L,68.9,142,830,5.12345679,0.171084337,CUKC,Curveball,72.6,-71,1.5,2,13.3,13.3,-0.1,-1,0.641255605,0.470852018
2023,"Bassitt, Chris",605135,Blue Jays,TOR,R,70.7,394,3139,19.37654321,0.125517681,CUKC,Curveball,70,-67.9,2.1,3,14,13.7,0.3,2,0.695067265,0.529147982
2023,"Leiter Jr., Mark",643410,Cubs,CHC,R,73.4,95,1056,6.518518519,0.089962121,CUKC,Curveball,68.4,-63.3,5.1,8,8.6,12,-3.4,-29,0.887892377,0.179372197
2023,"Wainwright, Adam",425794,Cardinals,STL,R,71.5,529,1785,11.01851852,0.296358543,CUKC,Curveball,68.1,-67,1.1,2,16.5,12,4.5,37,0.596412556,0.896860987
2023,"Thompson, Zack",668868,Cardinals,STL,L,75.4,319,1168,7.209876543,0.273116438,CUKC,Curveball,67.6,-60.2,7.4,12,6.6,10.1,-3.5,-35,0.98206278,0.174887892
2023,"Pallante, Andre",669467,Cardinals,STL,R,76.9,152,1139,7.030864198,0.133450395,CUKC,Curveball,66.9,-57.4,9.5,17,5.9,9.8,-3.9,-40,0.995515695,0.121076233
2023,"Kershaw, Clayton",477132,Dodgers,LAD,L,73.4,354,2026,12.50617284,0.174728529,CUKC,Curveball,66.9,-64.2,2.7,4,3.9,10.3,-6.3,-62,0.735426009,0.049327354
2023,"Fried, Max",608331,Braves,ATL,L,74.2,285,1244,7.679012346,0.229099678,CUKC,Curveball,66.6,-62.5,4.1,7,9.3,10.6,-1.3,-12,0.838565022,0.331838565
2023,"Hill, Rich",448179,Padres,SD,L,71.9,913,2531,15.62345679,0.360726985,CUKC,Curveball,66.4,-65.2,1.2,2,16.8,13.7,3.1,22,0.614349776,0.802690583
2023,"France, J.P.",641585,Astros,HOU,R,76,302,2202,13.59259259,0.137148047,CUKC,Curveball,66.3,-57.5,8.8,15,9.9,11.4,-1.6,-14,0.99103139,0.30941704
2023,"Lambert, Jimmy",669424,White Sox,CWS,R,76.1,106,677,4.179012346,0.156573117,CUKC,Curveball,66.1,-58.1,8,14,5.8,7.7,-1.9,-24,0.986547085,0.269058296
2023,"Liberatore, Matthew",669461,Cardinals,STL,L,76.5,224,1059,6.537037037,0.211520302,CUKC,Curveball,66,-58.8,7.3,12,11,8.5,2.5,29,0.977578475,0.757847534
2023,"Williamson, Brandon",682227,Reds,CIN,L,73.1,123,1939,11.9691358,0.06343476,CUKC,Curveball,65.7,-64.4,1.3,2,11.8,9.5,2.3,24,0.623318386,0.735426009
